system:index,asid,evi_count,evi_int_mean_10_90,evi_max,evi_mean,evi_median,evi_min,evi_stdDev,msavi_count,msavi_int_mean_10_90,msavi_max,msavi_mean,msavi_median,msavi_min,msavi_stdDev,ndvi_count,ndvi_int_mean_10_90,ndvi_max,ndvi_mean,ndvi_median,ndvi_min,ndvi_stdDev,ndwi_count,ndwi_int_mean_10_90,ndwi_max,ndwi_mean,ndwi_median,ndwi_min,ndwi_stdDev,nirv_count,nirv_int_mean_10_90,nirv_max,nirv_mean,nirv_median,nirv_min,nirv_stdDev,savi_count,savi_int_mean_10_90,savi_max,savi_mean,savi_median,savi_min,savi_stdDev,.geo
2_2_1_LT05_122027_19860204_000000000000000000cc,2128.0,220122,-0.08874247050507787,6894.648479705174,-0.05453480429303246,-0.1715120347294875,-6194.179432981615,21.667943374326804,220122,-0.004862071410827477,0.09864158014548141,-0.005956534690450531,-0.002885692179421217,-0.16819080117576168,0.024276994581726014,220122,-0.004964382426458519,0.12453662063514524,-0.007728416310630081,-0.0029441473268164613,-0.3642890214615256,0.02729938536165493,220122,0.655723048015974,1.07713263093287,0.6581452763733348,0.6543112195083755,0.2372759337925172,0.036761432252310246,220122,-0.002080995751423754,0.07595204431266453,-0.0015159955009179371,-0.00216968123383141,-0.047940382815264394,0.013097481511277327,220122,-0.004909565344930473,0.10373356144533717,-0.006523196980260674,-0.002918855079813753,-0.20320863027970928,0.02471960724106551,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_1_LT05_122027_19860220_000000000000000000cc,2128.0,1945927,-0.017683704254385518,490.86347894049266,-0.020459166265952025,0.01317325452977863,-987.5862119046116,1.4008138181606806,1945927,-0.008901365232037287,0.3149937856279357,-0.00873978929594858,-0.009813603633918174,-0.260508876879345,0.01605586499105787,1945927,-0.007563137220609381,0.2491270331051514,-0.008105245791064144,-0.005933676613389666,-0.2965093848170941,0.015804515986047946,1945927,0.7287840654905406,0.9925340221844194,0.724974819584995,0.7304454008910484,-0.22616477402416085,0.03575516691230128,1945927,-0.005363402897020962,0.3203961816362893,-0.004737502350889568,-0.006838294875886416,-0.11233454787703534,0.009080025354782088,1945927,-0.008391039505044762,0.30068012663886906,-0.00847075807729544,-0.009806298822917558,-0.2646002801189625,0.015770303106933642,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_1_LT05_122027_19860612_000000000000000000cc,2128.0,282787,0.2600222918756343,0.651464067518155,0.26220807783684513,0.259763909881569,0.09798123048031507,0.04997958314227036,282787,0.224191614254639,0.5592144401849735,0.22654118907631987,0.2236227674215277,0.0897616534989224,0.04380122470360897,282787,0.3428712162049693,0.7083143237804708,0.3484541750876113,0.3378684682552976,0.1852304989000601,0.05535097908072607,282787,0.010584686847797415,0.34976185182386194,0.01602144035469241,0.0058291664336958095,-0.15123369658130184,0.05382070611975662,282787,0.1052419266212764,0.33146237817032737,0.1067572232574885,0.10435704238159077,0.03354685516752985,0.026331550564528614,282787,0.24358431582424955,0.5500173822912112,0.24611407480384248,0.24315713304607608,0.10756857624741976,0.04235571306297911,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_1_LT05_122027_19860730_000000000000000000cc,2128.0,2479796,0.5608820610561465,0.956222116367008,0.5540546559183452,0.5762232924265454,0.023461677317238496,0.1179539674094951,2479796,0.5484042521410427,0.8646302525444404,0.5406728428269092,0.5644386381153976,0.019388347960467067,0.1250097662232742,2479796,0.7845494934854633,0.9273398268987323,0.7718697648616704,0.802759913200707,0.11570077068469517,0.08650113836060752,2479796,0.2937873926028581,0.6571210897862707,0.2791437612884615,0.3183897990664987,-0.20941709816895365,0.12144093635785287,2479796,0.2951361159868231,0.6431837664892298,0.29244375507393694,0.30275499648602927,0.005855995039485892,0.08330793114200326,2479796,0.5346540290616184,0.810295053145564,0.5271206400233186,0.5488184138770293,0.02675053007792965,0.09815660788156597,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_1_LT05_122028_19860204_000000000000000000cc,2128.0,92858,-0.04699405236783856,795.7447273206161,-0.028771737720186326,-0.07635617040190756,-437.7297647987159,3.840143500493948,92858,-0.0024252915625207635,0.09298270768972028,-0.0027144685617276412,-9.206826717090036E-4,-0.19293856471417858,0.018938372397457715,92858,-0.002491169012072735,0.12027208786010168,-0.0029364091970017275,-0.0010038259283976715,-0.3527401047331916,0.020410675206675607,92858,0.6630810270700165,0.9787277543913598,0.6652759023815603,0.6611016120018497,0.5396494702766563,0.03146646473879526,92858,-9.767053799043602E-4,0.07701339996439444,-7.58504549987956E-4,-6.824331864865288E-4,-0.04525478644564326,0.010119451099829896,92858,-0.0024613825324790303,0.09974544398798357,-0.0028276535254452427,-9.20604767317863E-4,-0.23398776086605955,0.01908684302803173,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_1_LT05_122028_19860220_000000000000000000cc,2128.0,1702667,-0.0055836120278492645,184.41271582394273,-0.012616698668608671,0.011288516574641801,-1591.4702623140092,1.5678818058546402,1702667,-0.00910562947333124,0.4460167442587728,-0.008763253987253332,-0.009789615974250158,-0.25961666234522296,0.014236434870218124,1702667,-0.00759148915710112,0.36615977099078145,-0.007778892892956915,-0.005890632917444453,-0.295849769507404,0.013833213046213983,1702667,0.7274860740084289,0.992463603689614,0.7244709506039886,0.7303555658027229,-0.22279159736174128,0.03289933015541569,1702667,-0.005641205794217481,0.502483970834005,-0.005031161267198586,-0.005881386056627474,-0.11145542122538817,0.008076761805941317,1702667,-0.008526733264827582,0.43978578966899917,-0.008367809338922122,-0.00972132210431749,-0.2637215405284627,0.013925255077639824,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_1_LT05_122028_19860425_000000000000000000cc,2128.0,2275766,0.09833809947621566,0.15245332769849992,0.09807523359843798,0.09882641182215153,-0.13012084914937574,0.010644296384233023,2275766,0.08501871879619641,0.1303330825707123,0.08467957309997431,0.08548495473937634,-0.08298536572400639,0.009776387410855984,2275766,0.1532518940039191,0.2653367317189285,0.15375213146147676,0.15319873308093546,-0.11617332046718996,0.016845932102782422,2275766,-0.20637562208234517,0.7359048439560246,-0.20030646406811362,-0.20711111776624994,-0.28722267148384784,0.04581437000541294,2275766,0.03298881021621276,0.05478667977713913,0.03287339284200004,0.032980500540486554,-0.031158729241115884,0.004392581210250958,2275766,0.09829313559658451,0.14973623433514416,0.09791746145253362,0.09917844680245855,-0.08968160096441105,0.010733584464246057,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_1_LT05_122028_19860612_000000000000000000cc,2128.0,191641,0.27269444243472124,0.6112755674186638,0.27484882257163556,0.27246369138909043,0.12564983926797768,0.04197458937720553,191641,0.23988741030544475,0.5281593583469508,0.24206922499196476,0.2392561342963029,0.11387266063226875,0.03690626693467863,191641,0.35350221233635987,0.6894974040942217,0.35596518894578627,0.3535303100923548,0.18256676728506938,0.04815679864976186,191641,-0.0038708025923722502,0.3999355659892989,9.209991946593927E-5,-0.006207329166925595,-0.13700190414852656,0.04321402876089142,191641,0.1145348956964823,0.30546186487941673,0.11604872756694917,0.1138276915347565,0.044888993891622576,0.02207758698884046,191641,0.2586473290040218,0.5238210756462718,0.2606304394263535,0.25876561342847904,0.13005622814017967,0.036381624219224216,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_1_LT05_122028_19860730_000000000000000000cc,2128.0,2382959,0.5485084282369359,0.9028317172193223,0.5456746419360726,0.5527558079766528,0.11339185517824404,0.10125011678832478,2382959,0.5366036498176542,0.855865822423649,0.5332322655824548,0.5409149765290597,0.097541827680653,0.1078752166963788,2382959,0.7828035341708015,0.9230369509972832,0.7759043428674901,0.7910347290949289,0.26885235517504985,0.06716062154866106,2382959,0.28399812356054477,0.595033951397071,0.2749685847874773,0.2949371855936048,-0.2655979494356691,0.10130056145080586,2382959,0.2859797530966754,0.5991299596390166,0.28572235134640106,0.28711900982623834,0.036806970175447325,0.07223788827061185,2382959,0.5263416702828563,0.7827780781391934,0.5225738858416957,0.533255429310541,0.12492282054406116,0.08355003729616049,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2_1_LT05_122028_19860815_000000000000000000cc,2128.0,2192128,0.4749366867197786,0.8474360545909,0.47381194781702785,0.4785586147149041,0.07329956182220299,0.08571470734088264,2192128,0.4586518414155599,0.7999386092378441,0.4573877223455976,0.462885955227785,0.06170593784714412,0.09040490937465988,2192128,0.7335550312291753,0.8981888930090927,0.7280832760460753,0.7402389194339954,0.29958056738361316,0.06366498556619639,2192128,0.2302982044301877,0.6890593187004131,0.22259334006963097,0.24016085075047278,-0.2693598310147862,0.0947607151078007,2192128,0.23569231033610816,0.5627241641350198,0.23621413715233766,0.2363306733538322,0.023399068217188523,0.0577820273326092,2192128,0.4664789165431425,0.752117463079612,0.4641541106754741,0.47070724717926055,0.08446276222321514,0.07337188044321245,"{""type"":""MultiPoint"",""coordinates"":[]}"
