AimagName_mng,SoumName_mng,BagName_mng,BagN,PlotName_mng,AimagName,SoumName,Bagname,PlotName,Longitude,Latitude,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
????-?????,?????,??????????,2,?????,Govi-Altai,Altai,Bayantsagaan,Hushuu,94.82833333,44.65975,0.1,1.2,1,1,1.2,1.2,10.8,0.6,2.5,2.2,2.1,0.5,1.5,1.2
????-?????,?????,???,3,????? ??????,Govi-Altai,Altai,Urt,Taviin tolgoi,95.47111111,44.48577778,0.1,1.9,0.01,3,6.1,6.1,1,1.5,2.8,2.2,2.8,0.9,0.4,0.5
????-?????,????-???,??????????,6,??? ??????,Govi-Altai,Bayan-Uul,Altangadas,Bor tolgoi,95.26766667,47.13497222,0.2,0.9,0.01,2.9,8.1,8.1,2.9,2,1.2,2,0.1,0.9,1.7,2.3
????-?????,????-???,????????,1,?????? ?????? ????,Govi-Altai,Bayan-Uul,Bayan bogd,Shandnii tsagaan ovoo,95.38316667,47.08255556,0.2,1.8,0.5,2.8,3,3,5.1,1,2.2,3.4,0.2,0.9,1.3,3.3
????-?????,????-???,????????,5,??? ???,Govi-Altai,Bayan-Uul,Bayangovi,Urd gol,95.03713889,47.01536111,0.4,1.4,0.505,2.8,3,3,3.6,0.6,1.4,2,0.1,0.6,1.3,1.8
????-?????,????-???,???????????,3,??????????? ??????/?????? ????,Govi-Altai,Bayan-Uul,Bayanhairhan,Hashaalaagui talbai/Gangan shand,95.15277778,46.95183333,0.1,1.2,0.01,3,3.2,3.2,3.6,0.9,1.4,1.1,0.1,1.1,1,1.7
????-?????,????-???,???????????,4,????? ?????,Govi-Altai,Bayan-Uul,Huisiin govi,Uzuur ovoot,95.00311111,46.93952778,0.2,2.1,0.4,2.9,5.2,5.2,4.1,1.4,2.1,3.2,0.1,0.5,2.4,3.4
????-?????,????-???,???????????????,2,????? ??,Govi-Altai,Bayan-Uul,Chandmani hairhan,Namiin am,95.34427778,46.95141667,0.1,0.7,0.3,1.2,3.2,2.5,4.8,3.2,1.5,2,0.1,1,1.2,3.2
????-?????,?????,??????,4,??????????? ??????/????????? ??,Govi-Altai,Biger,Buudai,Hashaalaagui talbai/Bayangoliin am,97.16697222,45.71019444,,0.4,0.2,1,2.2,3.2,2.5,2.8,2.2,3.8,0.5,0.1,0.5,0.2
????-?????,?????,???????,3,??????,Govi-Altai,Biger,Ih bulag,Gangat,97.15172222,45.88477778,0.1,0.8,0.2,0.4,2.8,2.2,3.5,1.8,0.9,2.5,0.1,0.9,0.5,0.9
????-?????,?????,??????,1,??????? ??,Govi-Altai,Biger,Myangai,Suujiin eh,97.411,45.51363889,0.1,0.6,0.2,0.5,2.5,2.8,0.7,2.8,1.6,2.8,0.6,0.8,0.6,0.4
????-?????,?????,???,2,????????,Govi-Altai,Biger,Urt,Altanhad,97.11669444,45.61938889,,0.5,0.2,1.6,2.2,2.2,3,3.3,0.8,2.2,0.5,0.2,1,0.1
????-?????,?????,??????,5,??? ????,Govi-Altai,Biger,Huremt,Shar sair,97.24633333,45.87013889,0.01,1.4,0.2,1.1,0.3,0.3,4,1.3,1.2,2.8,0.3,0.8,0.6,0.8
????-?????,?????,???,1,??? ???,Govi-Altai,Bugat,Bij,Har del,93.60697222,45.02402778,0.7,0.2,0.2,1.1,0.4,0.4,13.4,2.2,3.8,3.8,0.4,0.5,0.6,1.6
????-?????,?????,??????,3,??????? ???,Govi-Altai,Bugat,Gahanch,Googiin har,94.55805556,45.40997222,0.8,0.2,0.1,1.2,1.2,1.2,4.8,1.2,1.8,3.4,0.5,0.9,0.6,0.7
????-?????,?????,???,4,??????????? ??????/??? ?????,Govi-Altai,Bugat,Suj,Hashaalaagui talbai/Huh hoshuu,94.465,45.60875,0.4,0.8,0.4,1.2,0.4,0.4,2.4,2.1,2.7,2.1,0.3,0.6,0.7,1.4
????-?????,?????,????,2,???? ??????,Govi-Altai,Bugat,Fyerm,Ariin hashaat,93.92105556,45.04744444,4.5,3,0.4,3.2,8.4,8.4,3,0.8,4.8,3.9,0.7,0.8,1.6,1.5
????-?????,?????,????????,3,??? ??????? ??,Govi-Altai,Darvi,Javhlant,Har chuluunii eh,94.43175,46.48175,0.8,0.8,1.3,0.9,21.9,2.2,5.5,0.8,2.9,1.4,0.6,0.9,1,1.1
????-?????,?????,????,1,??? ????,Govi-Altai,Darvi,Ihes,Har ereg,93.99327778,46.59838889,1,3,1.6,3,2.2,21.9,3.3,0.5,0.9,1.4,0.7,0.6,1.1,1.2
????-?????,?????,??????,2,??????????? ??????/?????????? ??,Govi-Altai,Darvi,Hujirt,Hashaalaagui talbai/Joovongiin ovoonii ar,94.11630556,46.46291667,0.9,0.2,1.4,0.6,1,1,20.6,0.8,0.5,0.7,0.3,0.8,1.4,1
????-?????,??????,??????????,3,???? ????,Govi-Altai,Delger,Bayanbuural,Hoyor hond,97.38977778,46.22863889,0.1,0.3,1.2,0.4,1.4,1.4,14.1,1.1,2,2.4,0.7,0.7,1.1,0.2
????-?????,??????,????-?????,1,??????,Govi-Altai,Delger,Bayan-Undur,Hujirt,97.48475,46.03761111,,2.3,0.2,3,1.4,2.8,9.5,0.4,1.3,1.9,0.6,0.9,1.4,0.2
????-?????,??????,???????,4,??????????? ??????,Govi-Altai,Delger,Bayansan,Hashaalaagui talbai,97.33594444,46.34055556,0.01,0.2,1.2,3.8,2.8,1.4,3.8,0.6,1.1,3.2,0.4,0.9,1,0.2
????-?????,??????,??????????,2,??? ???????,Govi-Altai,Delger,Bayanhongor,Onh hairhan,97.39105556,46.2285,0.01,2.5,0.6,3,0.9,0.9,3.9,0.6,0.6,3.5,0.2,0.8,1.4,0.9
????-?????,??????,??????,5,????? ?????,Govi-Altai,Delger,Guulin,Taliin hudag,97.30972222,46.56880556,0.01,0.6,0.2,1.6,3.1,3.1,12.6,1.4,0.8,1.7,0.3,0.3,1,0.7
????-?????,?????????,?????,6,??????? ??,Govi-Altai,Esunbulag,Naran,Dabaanii am,96.53836111,46.13594444,0.01,0.1,0.4,2.4,4.1,4.1,1.4,0.9,1.6,1.6,0.3,0.2,0.8,0.1
????-?????,?????????,???????,5,??????? ??????,Govi-Altai,Esunbulag,Rashaant,Antenii tolgoi,96.13394444,46.37486111,0.01,0.2,1,1.4,3.9,3.9,9.9,1,1.3,1.3,0.3,0.3,0.01,0.1
????-?????,?????????,??????,4,??????????? ??????,Govi-Altai,Esunbulag,Harzat,Hashaalaagui talbai,96.25280556,46.39897222,,,0.4,,,,,,0.6,1.3,0.3,3.2,0.2,0.1
????-?????,????????,?????,1,???????????,Govi-Altai,Jargalan,Buren,Ulziidelger,95.97483333,47.08116667,0.3,1.3,0.1,2.1,4.3,4.3,1.4,0.9,1.4,2.6,0.4,0.8,0.6,0.3
????-?????,????????,?????????,3,?????? ?????,Govi-Altai,Jargalan,Zavhan gol,Nariin uzuur,96.08891667,46.93736111,1.2,1.4,0.2,1.8,4.8,4.8,7.3,1.5,1,2.4,0.1,0.7,0.7,0.2
????-?????,????????,????,2,??????????? ??????/?????? ????,Govi-Altai,Jargalan,Teel,Hashaalaagui talbai/Tsagaan ders,95.759,46.96355556,0.1,0.7,0.3,2.1,5.2,5.2,1.2,0.6,0.3,3,0.3,0.7,0.7,0.01
????-?????,??????,??????,2,?????? ??????,Govi-Altai,Taishir,Galuut,Tsagaan tolgoi,96.42719444,46.37794444,1,0.6,0.1,2,6.2,6.2,1.7,1.2,0.9,2.3,0.4,0.9,0.8,0.5
????-?????,??????,?????,3,?????,Govi-Altai,Taishir,Dalan,Nuhen,96.19883333,46.58886111,1,0.4,0.01,2.1,3.2,3.2,1.5,1.1,0.6,2.9,0.2,0.7,1.2,0.5
????-?????,??????,??????,1,??????????? ??????/???? ??????,Govi-Altai,Taishir,Hurimt,Hashaalaagui talbai/Baga nomgon,96.61455556,46.79819444,0.1,0.4,0.5,0.5,0.3,0.3,0.3,2.4,0.9,2.5,0.4,0.2,1.4,0.7
????-?????,??????,??????-?????,5,??????????? ??????/???? ???,Govi-Altai,Tonhil,Altain-Orgil,Hashaalaagui talbai/Suul har,93.867,46.28088889,,0.6,0.4,2,0.6,0.6,0.3,2.5,1,1.6,0.2,1,0.3,0.4
????-?????,??????,???????????,4,?????? ??,Govi-Altai,Tonhil,Altansoyombo,Hustiin am,93.49333333,45.85477778,0.1,0.5,0.6,0.6,1.1,1.1,0.2,3.3,1.4,2.4,0.9,0.9,0.7,0.7
????-?????,??????,???-???,1,?????? ?????,Govi-Altai,Tonhil,Bus-Uul,Tsagaan hutul,94.02269444,45.96611111,0.2,0.6,0.6,0.6,0.8,0.8,1,2,1.6,4.8,0.7,0.6,1.3,0.6
????-?????,??????,????,3,????????? ?????,Govi-Altai,Tonhil,Zuil,Duruljiin hutul,93.75061111,46.41491667,0.1,0.4,0.2,0.3,0.1,0.1,0.2,3.4,1.6,2,0.8,0.7,0.7,0.7
????-?????,??????,????,2,???? ??????? ??,Govi-Altai,Tonhil,Tamch,Bayan hundiin am,93.74308333,46.04688889,0.01,0.3,1.6,1.6,2.3,2.3,1.5,3.2,0.8,1.6,0.3,0.9,0.4,0.4
????-?????,??????,??????,3,??????????? ??????,Govi-Altai,Tugrug,Maanit,Hashaalaagui talbai,94.80475,45.83375,0.1,0.3,1.4,3.8,5.3,5.3,1.2,4.3,3.6,4.5,0.1,0.4,0.01,0.3
????-?????,??????,???????????,2,??? ?????,Govi-Altai,Tugrug,Tugrugiin eh,Tal bulag,94.96680556,45.72008333,0.01,0.2,2.7,0.3,3.3,3.3,1.5,2.6,4.8,4.5,0.3,0.2,0.01,0.1
????-?????,??????,????????,5,?????? ??,Govi-Altai,Tugrug,Tungalag,Zagiin us,94.64522222,46.00461111,0.1,0.3,1.8,1.8,4.8,4.8,2.2,3.8,2.8,2.9,0.7,0.8,0.6,0.01
????-?????,??????,????????,1,???????? ?????,Govi-Altai,Tugrug,Huren gol,Uzuuriin hudag,94.97869444,45.84602778,2.8,2.4,1.1,3.4,3.2,3.2,0.4,3.4,5.8,5.2,0.1,0.2,1.6,0.5
????-?????,??????,?????????????,4,??? ?????,Govi-Altai,Tugrug,Tsagaan hairhan,Huh hudag,94.53813889,45.81047222,0.01,0.2,0.7,2.2,5.7,5.7,17.2,3.6,4.2,5,0.8,0.2,1.6,0.6
????-?????,??????,?????????,2,?????????? ??,Govi-Altai,Haliun,Guu bariach,Bagluurtiin am,96.18663889,45.99588889,0.01,0.1,1.2,2.5,6,6,1.3,2.8,1.1,2.7,0.2,0.4,0.3,0.3
????-?????,??????,?????????,3,?????????,Govi-Altai,Haliun,Olon bulag,Durvuljin,95.81602778,46.00005556,0.01,0.6,1.1,2,6.3,6.3,4.4,2.3,0.9,2.3,0.1,1,0.1,0.3
????-?????,??????,????,1,??????????? ??????/?????? ??,Govi-Altai,Haliun,Suuj,Hashaalaagui talbai/Harziin am,96.06061111,45.95469444,0.01,0.9,0.9,2.5,3.4,3.4,2,2.6,1.3,2.6,0.2,0.4,1.1,0.3
????-?????,??????,??????,4,?????? ????? ????,Govi-Altai,Haliun,Chatsran,Tsagaan goliin sair,96.31494444,45.87738889,0.01,2.2,1,0.8,2.6,2.6,1.3,0.6,1,2.5,0.3,0.5,0.7,0.1
????-?????,????????,?????????,2,???????,Govi-Altai,Huhmorit,Zavhan gol,Hairhan,94.32919444,47.53044444,0.01,0.7,0.3,2,1,1,1.4,0.6,0.8,2,0.7,0.3,2.8,1.6
????-?????,????????,????????????,3,?????? ?????,Govi-Altai,Huhmorit,Sangiin dalai,Gurvan hudag,94.92341667,47.332,0.01,,,,,,,,0.6,1.6,0.1,1.2,0.5,2.2
????-?????,????????,???????????,4,??????????? ??????/?????? ???,Govi-Altai,Huhmorit,Huisiin govi,Hashaalaagui talbai/Tsagaan den,94.49788889,47.31905556,0.01,1,0.2,2.5,0.7,0.7,1.3,0.8,0.2,1.6,0.2,0.9,0.4,1.5
????-?????,????????,??????,1,?????,Govi-Altai,Huhmorit,Tsoohor,Hutul,93.99755556,47.43475,,2,1.6,2.1,1.9,1.9,4.6,0.5,0.2,1.2,0.2,0.5,0.7,1
????-?????,????,??????????,7,??????????? ??????,Govi-Altai,Tsogt,Bayantooroi,Hashaalaagui talbai,96.75477778,44.91819444,0.2,0.6,0.4,0.7,0.7,0.7,3,3.1,2.2,4.5,2.9,0.1,2,2.7
????-?????,????,????-?????,5,???? ,Govi-Altai,Tsogt,Bayan-Undur,Nuur,96.79644444,45.41102778,0.3,0.6,0.9,0.9,1,1,0.3,0.5,0.6,0.9,0.7,2.2,0.7,0.4
????-?????,????,????-?????,6,???-?????,Govi-Altai,Tsogt,Bayan-Ulaan,Ust-Ulaan,96.49177778,45.61952778,,0.6,0.3,0.6,0.8,0.8,2.6,0.8,0.6,0.8,0.4,0.3,0.6,0.3
????-?????,????,??????,3,?? ????? ??,Govi-Altai,Tsogt,Gegeet,Ar zamiin eh,97.03752778,45.23913889,,0.6,0.6,0.6,0.7,0.7,2.1,0.6,0.9,0.9,0.5,0.2,0.7,0.6
????-?????,????,?????,2,??????? ??,Govi-Altai,Tsogt,Dalan,Bulshtiin eh,96.96513889,45.29125,0.2,,0.6,0.7,0.9,0.9,,0.9,0.8,0.8,0.6,0.3,0.6,0.7
